輯別	書名	文章題名	作品描述(或後記)內容	推定日期	推斷來源	總字數	檔案名稱
第一輯 教義論述類	明末佛教研究	自序	一九八七年七月二十日序於臺北北投農禪寺	#NAME?	作品陳述所載日期	1,199	01-01-001.txt
第一輯 教義論述類	明末佛教研究	第一章　明末的禪宗人物及其特色	（一九八二年十一月至一九八三年七月十四日稿成於美國紐約禪中心）	1983.07	作品陳述所載，多日期中採「後」者	22,787	01-01-002.txt
第一輯 教義論述類	明末佛教研究	第二章　明末的淨土教人物及其思想	（一九八五年元月三十一日脫稿於美國紐約禪中心歷時三個月）	#NAME?	作品陳述所載日期	39,995	01-01-003.txt
第一輯 教義論述類	明末佛教研究	第三章　明末的唯識學者及其思想	（一九八二年五月二十九日完稿於美國紐約禪中心）	#NAME?	作品陳述所載日期	26,792	01-01-004.txt
第一輯 教義論述類	明末佛教研究	第四章　明末的居士佛教		1980.12	內文他處所載日期	11,850	01-01-005.txt
第一輯 教義論述類	大乘止觀法門之研究	前言	一九七一年佛誕日於東京斗室	1971.04	作品陳述-年譜所載文章出刊日	1,952	01-02-001.txt
第一輯 教義論述類	大乘止觀法門之研究	第一章　《大乘止觀法門》的組織及其內容		1971.06	內文他處所載日期	5,713	01-02-002.txt
第一輯 教義論述類	大乘止觀法門之研究	第二章　《大乘止觀法門》的真偽及其作者		1971.08	內文他處所載日期	23,913	01-02-003.txt
第一輯 教義論述類	大乘止觀法門之研究	第三章　《大乘止觀法門》的基本思想		1971.11	內文他處所載日期	33,621	01-02-004.txt
第一輯 教義論述類	戒律學綱要	自序	聖嚴佛曆二五○九年元月二十五日序於朝元寺關房，一九七八年三月一日再版識於北投	#NAME?	作品陳述所載，多日期中採「前」者	1,320	01-03-002.txt
第一輯 教義論述類	戒律學綱要	第一章　受戒學戒與持戒		1962.02	年譜附錄聖嚴法師重要著述所載出書日	3,958	01-03-003.txt
第一輯 教義論述類	戒律學綱要	第二章　戒律的傳承與弘揚		1962.06	年譜附錄聖嚴法師重要著述所載出書日	9,743	01-03-004.txt
第一輯 教義論述類	戒律學綱要	第一章　三寶及皈依		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,016	01-03-005.txt
第一輯 教義論述類	戒律學綱要	第二章　皈依三寶的方法與利益		1965.03	年譜附錄聖嚴法師重要著述所載出書日	6,215	01-03-006.txt
第一輯 教義論述類	戒律學綱要	第一章　五戒及其內容		1965.03	年譜附錄聖嚴法師重要著述所載出書日	15,866	01-03-007.txt
第一輯 教義論述類	戒律學綱要	第二章　求受五戒的方法及其功德		1965.03	年譜附錄聖嚴法師重要著述所載出書日	7,691	01-03-008.txt
第一輯 教義論述類	戒律學綱要	第一章　八關戒齋及其內容		1965.03	年譜附錄聖嚴法師重要著述所載出書日	8,064	01-03-009.txt
第一輯 教義論述類	戒律學綱要	第二章　六齋日及其戒齋清淨		1965.03	年譜附錄聖嚴法師重要著述所載出書日	4,053	01-03-010.txt
第一輯 教義論述類	戒律學綱要	第三章　八關戒齋的條件與受法		1965.03	年譜附錄聖嚴法師重要著述所載出書日	4,778	01-03-011.txt
第一輯 教義論述類	戒律學綱要	第一節　捨戒		1965.03	年譜附錄聖嚴法師重要著述所載出書日	1,624	01-03-012.txt
第一輯 教義論述類	戒律學綱要	第一章　出家與出家的目的		1965.03	年譜附錄聖嚴法師重要著述所載出書日	3,251	01-03-013.txt
