輯冊	法鼓全輯2020紀念版書名	#	相關書刊名	出版者	出版年	典藏地	索書號 / 條碼號
01-01	明末佛教研究	1	明末佛教研究 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	BT 082.8 1666 2020 v.1 no.1
01-01	明末佛教研究	2	明末佛教研究 / 聖嚴法師著.	宗教文化, (第1版)	2006	DILA典藏(總)	
01-01	明末佛教研究	3	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
01-01	明末佛教研究	4	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	2000	DILA典藏(總)	
01-01	明末佛教研究	5	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-01	明末佛教研究	6	明末佛教研究 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
01-01	明末佛教研究	7	明末佛教研究 / 釋聖嚴著.	東初, (初版)	1987	DILA典藏(總)	
01-02	大乘止觀法門之研究	1	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-02	大乘止觀法門之研究	2	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
01-02	大乘止觀法門之研究	3	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-02	大乘止觀法門之研究	4	大乘止觀法門之研究 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.2
01-02	大乘止觀法門之研究	5	大乘止觀法門之研究 / (釋)聖嚴著.	東初, (二版)	1987	DILA典藏(總)	
01-02	大乘止觀法門之研究	6	大乘止觀法門之研究 / 釋聖嚴撰	中華佛教文化館,	1979		226.4 1666
01-03	戒律學綱要	1	戒律學綱要 / 聖嚴法師著.	法鼓文化, (四版)	2022	DILA典藏(總)	
01-03	戒律學綱要	2	戒律學綱要 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-03	戒律學綱要	3	戒律学綱要 / 圣严法师著.	宗教文化出版社, (第1版.)	2006	DILA典藏(總)	
